model_path,iteration,precision,recall,mAP50,mAP50_95,ril_deletion,ril_addition,est_deletion,est_addition
C:/Users/USER/Documents/a skripsi/workv1/self-training/1-iter/model1/weights/best.pt,1,0.989440,0.972588,0.990207,0.895361,0,11,3.0836625170742638,7.921968187203037
C:/Users/USER/Documents/a skripsi/workv1/self-training/2-iter/model2/weights/best.pt,2,1.000000,0.889273,0.944606,0.864334,12,3,0.0,32.00000000000001
C:/Users/USER/Documents/a skripsi/workv1/self-training/3-iter/model3/weights/best.pt,3,1.000000,0.996540,0.995000,0.908171,10,165,0.0,1.0000000000000153
