model_path,iteration,precision,recall,mAP50,mAP50_95,ril_deletion,ril_addition,est_deletion,est_addition
C:/Users/USER/Documents/a skripsi/workv1/self-training/1-iter/model1/weights/best.pt,1,1.000000,0.979239,0.989450,0.898712,1,8,0.0,5.999999999999996
C:/Users/USER/Documents/a skripsi/workv1/self-training/2-iter/model2/weights/best.pt,2,1.000000,0.993080,0.995000,0.904141,1,5,0.0,1.9999999999999987
C:/Users/USER/Documents/a skripsi/workv1/self-training/3-iter/model3/weights/best.pt,3,0.993103,0.996540,0.994965,0.913361,0,4,2.000000000000004,1.0000000000000153
C:/Users/USER/Documents/a skripsi/workv1/self-training/4-iter/model4/weights/best.pt,4,1.000000,0.989619,0.994633,0.907130,5,2,0.0,3.0000000000000138
C:/Users/USER/Documents/a skripsi/workv1/self-training/5-iter/model5/weights/best.pt,5,1.000000,0.996540,0.995000,0.905716,2,5,0.0,1.0000000000000153
