iteration,TP,FP,FN,precision,recall,f1_score,mAP50,mAP50_95,total_images_in_slice,start_file,end_file
1,378,2,7,0.9947368421052631,0.9818181818181818,0.9882352941176471,0.9904182821830301,0.9114445142795807,458,frame_00000.jpg,frame_00457.jpg
2,378,0,7,1.0,0.9818181818181818,0.9908256880733944,0.9905,0.9878359832194177,458,frame_00458.jpg,frame_00915.jpg
3,381,1,4,0.9973821989528796,0.9896103896103896,0.9934810951760106,0.9945998036649214,0.9905324714184734,458,frame_00916.jpg,frame_01373.jpg
4,392,4,3,0.9953975961642965,0.9924050632911392,0.993899077176904,0.994974554707379,0.9916805960717456,458,frame_01374.jpg,frame_01831.jpg
5,385,2,4,0.9948320413436692,0.9897172236503856,0.9922680412371134,0.9946747416020673,0.9887235036211439,456,frame_01832.jpg,frame_02287.jpg
